"DIPUTADO","BLOQUE","PROVINCIA","¿CÓMO VOTÓ?"
"ABDALA DE MATARAZZO, Norma Amanda","Frente Cívico por Santiago","Santiago del Estero","AUSENTE"
"ACERENZA, Samanta María Celeste","PRO","Buenos Aires","AFIRMATIVO"
"AICEGA, Juan","PRO","Buenos Aires","AFIRMATIVO"
"ALLENDE, Walberto Enrique","Todos Juntos por San Juan","San Juan","AFIRMATIVO"
"ALONSO, Laura Valeria","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"ALUME SBODIO, Karim Augusto","Unidad Justicialista","San Luis","AFIRMATIVO"
"ÁLVAREZ RODRIGUEZ, María Cristina","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"AMADEO, Eduardo Pablo","PRO","Buenos Aires","AFIRMATIVO"
"ANSALONI, Pablo Miguel","PRO","Buenos Aires","AFIRMATIVO"
"ARCE, Mario Horacio","Unión Cívica Radical","Formosa","AFIRMATIVO"
"ARROYO, Daniel Fernando","Federal Unidos por una Nueva Argentina","Buenos Aires","NEGATIVO"
"ASENCIO, Fernando","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"AUSTIN, Brenda Lis","Unión Cívica Radical","Córdoba","AFIRMATIVO"
"ÁVILA, Beatriz Luisa","Partido por la Justicia Social","Tucumán","AFIRMATIVO"
"AYALA, Aida Beatriz Máxima","Unión Cívica Radical","Chaco","AUSENTE"
"BAHILLO, Juanjo","Justicialista","Entre Ríos","NEGATIVO"
"BALDASSI, Héctor Walter","PRO","Córdoba","AFIRMATIVO"
"BANFI, Karina Verónica","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BASTERRA, Luis Eugenio","Frente para la Victoria - PJ","Formosa","AUSENTE"
"BAZZE, Miguel Ángel","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"BENEDETTI, Atilio Francisco Salvador","Unión Cívica Radical","Entre Ríos","AFIRMATIVO"
"BERISSO, Hernán","PRO","Buenos Aires","AFIRMATIVO"
"BEVILACQUA, Gustavo","Federal Unidos por una Nueva Argentina","Buenos Aires","AFIRMATIVO"
"BIANCHI, Ivana María","Unidad Justicialista","San Luis","AUSENTE"
"BORSANI, Luis Gustavo","Unión Cívica Radical","Mendoza","AFIRMATIVO"
"BOSSIO, Diego Luis","Justicialista","Buenos Aires","AUSENTE"
"BRAGAGNOLO, Sebastián","PRO","Mendoza","AUSENTE"
"BRAMBILLA, Sofía","PRO","Corrientes","AFIRMATIVO"
"BRITEZ, María Cristina","Frente para la Victoria - PJ","Misiones","NEGATIVO"
"BRIZUELA DEL MORAL, Eduardo Segundo","Fte. Cívico y Social de Catamarca","Catamarca","AUSENTE"
"BRÜGGE, Juan Fernando","Córdoba Federal","Córdoba","AFIRMATIVO"
"BUCCA, Eduardo","Justicialista","Buenos Aires","AFIRMATIVO"
"BUIL, Sergio Omar","PRO","Buenos Aires","AFIRMATIVO"
"BURGOS, María Gabriela","Unión Cívica Radical","Jujuy","AFIRMATIVO"
"CABANDIÉ, Juan","Frente para la Victoria - PJ","C.A.B.A.","AUSENTE"
"CÁCERES, Eduardo Augusto","PRO","San Juan","AUSENTE"
"CAMAÑO, Graciela","Federal Unidos por una Nueva Argentina","Buenos Aires","AUSENTE"
"CAMPAGNOLI, Marcela","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"CAMPOS, Javier","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"CANO, José Manuel","Unión Cívica Radical","Tucumán","AFIRMATIVO"
"CANTARD, Albor Angel","Unión Cívica Radical","Santa Fe","AFIRMATIVO"
"CARAMBIA, Antonio José","PRO","Santa Cruz","AUSENTE"
"CARMONA, Guillermo Ramón","Frente para la Victoria - PJ","Mendoza","NEGATIVO"
"CAROL, Analuz Ailén","Frente para la Victoria - PJ","Tierra del Fuego","NEGATIVO"
"CARRIÓ, Elisa María Avelina","Coalición Cívica","C.A.B.A.","AUSENTE"
"CARRIZO, Ana Carla","Evolución Radical","C.A.B.A.","AFIRMATIVO"
"CARRIZO, Soledad","Unión Cívica Radical","Córdoba","AUSENTE"
"CARRO, Pablo","Frente para la Victoria - PJ","Córdoba","NEGATIVO"
"CASELLES, Graciela María","Partido Bloquista de San Juan","San Juan","AUSENTE"
"CASSINERIO, Paulo Leonardo","Córdoba Federal","Córdoba","NEGATIVO"
"CASTAGNETO, Carlos Daniel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"CASTRO, Sandra Daniela","Frente para la Victoria - PJ","San Juan","AUSENTE"
"CERRUTI, Gabriela","Frente para la Victoria - PJ","C.A.B.A.","NEGATIVO"
"CIAMPINI, José Alberto","Frente para la Victoria - PJ","Neuquén","AUSENTE"
"CLERI, Marcos","Frente para la Victoria - PJ","Santa Fe","NEGATIVO"
"CONTIGIANI, Luis Gustavo","Frente Progresista Cívico y Social","Santa Fe","NEGATIVO"
"CORREA, Walter","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"CRESTO, Mayda","Justicialista","Entre Ríos","AFIRMATIVO"
"DAVID, Javier","Justicialista","Salta","AUSENTE"
"DE MENDIGUREN, José Ignacio","Federal Unidos por una Nueva Argentina","Buenos Aires","AUSENTE"
"DE PEDRO, Eduardo Enrique","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"DE PONTI, Lucila María","Peronismo para la Victoria","Santa Fe","AFIRMATIVO"
"DE VIDO, Julio (Suspendido Art 70 C.N.)","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"DEL CAÑO, Nicolás","PTS - Frente de Izquierda","Buenos Aires","NEGATIVO"
"Del CERRO, Gonzalo Pedro Antonio","Unión Cívica Radical","Santa Fe","AUSENTE"
"Del PLÁ, Romina","Fte. de Izquierda y de los Trabajadores","Buenos Aires","NEGATIVO"
"DELÚ, Melina Aida","Justicialista","La Pampa","AFIRMATIVO"
"DERNA, Verónica","Frente de la Concordia Misionero","Misiones","AFIRMATIVO"
"DI STÉFANO, Daniel","Frente de la Concordia Misionero","Misiones","AUSENTE"
"DINDART, Julián","Unión Cívica Radical","Corrientes","AUSENTE"
"DONDA PÉREZ, Victoria Analía","Libres del Sur","C.A.B.A.","AFIRMATIVO"
"DOÑATE, Claudio Martín","Frente para la Victoria - PJ","Rio Negro","NEGATIVO"
"ECHEGARAY, Alejandro Carlos Augusto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"ENRIQUEZ, Jorge Ricardo","PRO","C.A.B.A.","AFIRMATIVO"
"ESPINOZA, Fernando","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"ESTEVEZ, Gabriela Beatriz","Frente para la Victoria - PJ","Córdoba","NEGATIVO"
"FELIX, Omar","Somos Mendoza","Mendoza","AUSENTE"
"FERNANDEZ LANGAN, Ezequiel","PRO","Buenos Aires","AFIRMATIVO"
"FERNANDEZ PATRI, Gustavo Ramiro","Frente para la Victoria - PJ","Formosa","NEGATIVO"
"FERNANDEZ, Carlos Alberto","Unión Cívica Radical","Buenos Aires","AFIRMATIVO"
"FERREYRA, Araceli Susana Del Rosario","Peronismo para la Victoria","Corrientes","AFIRMATIVO"
"FILMUS, Daniel","Frente para la Victoria - PJ","C.A.B.A.","NEGATIVO"
"FLORES, Danilo Adrián","Justicialista","La Rioja","AFIRMATIVO"
"FLORES, Héctor Toty","Coalición Cívica","Buenos Aires","AFIRMATIVO"
"FRANA, Silvina Patricia","Frente para la Victoria - PJ","Santa Fe","NEGATIVO"
"FRANCO, Jorge Daniel","Frente de la Concordia Misionero","Misiones","AUSENTE"
"FREGONESE, Alicia","PRO","Entre Ríos","AFIRMATIVO"
"FRIZZA, Gabriel Alberto","PRO","Córdoba","AFIRMATIVO"
"FURLAN, Francisco Abel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"GARCIA, Alejandro","PRO","C.A.B.A.","AFIRMATIVO"
"GARRÉ, Nilda Celia","Frente para la Victoria - PJ","C.A.B.A.","NEGATIVO"
"GARRETÓN, Facundo","PRO","Tucumán","AFIRMATIVO"
"GAYOL, Yanina Celeste","PRO","Entre Ríos","AUSENTE"
"GINOCCHIO, Silvana Micaela","Elijo Catamarca","Catamarca","NEGATIVO"
"GIOJA, José Luis","Frente para la Victoria - PJ","San Juan","AUSENTE"
"GOICOECHEA, Horacio","Unión Cívica Radical","Chaco","AFIRMATIVO"
"GONZÁLEZ SELIGRA, Nathalia","PTS - Frente de Izquierda","Buenos Aires","NEGATIVO"
"GONZÁLEZ, Álvaro Gustavo","PRO","C.A.B.A.","AFIRMATIVO"
"GONZÁLEZ, Josefina Victoria","Frente para la Victoria - PJ","Santa Fe","AUSENTE"
"GRANA, Adrián Eduardo","Frente para la Victoria - PJ","Buenos Aires","NEGATIVO"
"GRANDE, Martín","PRO","Salta","AFIRMATIVO"
"GRANDINETTI, Alejandro Ariel","Federal Unidos por una Nueva Argentina","Santa Fe","AFIRMATIVO"
"GROSSO, Leonardo","Peronismo para la Victoria","Buenos Aires","AFIRMATIVO"
"GUERIN, María Isabel","Frente para la Victoria - PJ","Buenos Aires","AUSENTE"
"HERNÁNDEZ, Martín Osvaldo","Unión Cívica Radical","Formosa","AFIRMATIVO"
